Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
PHI,PHI vs. BOS,05/05/2023,L,240,102,31,78,39.7,16,37,43.2,24,27,88.9,9,33,42,21,7,8,14,20,-12,2022-23
BOS,BOS @ PHI,05/05/2023,W,240,114,38,86,44.2,16,45,35.6,22,23,95.7,9,36,45,25,9,7,12,23,12,2022-23
PHX,PHX vs. DEN,05/05/2023,W,240,121,48,95,50.5,9,28,32.1,16,18,88.9,7,34,41,24,5,6,9,24,7,2022-23
DEN,DEN @ PHX,05/05/2023,L,240,114,43,97,44.3,10,30,33.3,18,21,85.7,16,35,51,27,6,5,13,21,-7,2022-23
GSW,GSW vs. LAL,05/04/2023,W,240,127,48,95,50.5,21,42,50.0,10,16,62.5,13,42,55,38,2,3,16,23,27,2022-23
LAL,LAL @ GSW,05/04/2023,L,240,100,40,94,42.6,10,34,29.4,10,17,58.8,9,31,40,27,9,3,9,15,-27,2022-23
BOS,BOS vs. PHI,05/03/2023,W,240,121,43,92,46.7,20,51,39.2,15,16,93.8,8,38,46,26,6,8,7,17,34,2022-23
PHI,PHI @ BOS,05/03/2023,L,240,87,31,79,39.2,6,30,20.0,19,23,82.6,6,35,41,13,2,8,13,17,-34,2022-23
GSW,GSW vs. LAL,05/02/2023,L,240,112,43,106,40.6,21,53,39.6,5,6,83.3,14,35,49,30,5,3,8,24,-5,2022-23
MIA,MIA @ NYK,05/02/2023,L,240,105,38,85,44.7,17,49,34.7,12,17,70.6,8,26,34,24,1,2,7,24,-6,2022-23
NYK,NYK vs. MIA,05/02/2023,W,240,111,37,82,45.1,16,40,40.0,21,30,70.0,11,39,50,23,4,2,11,20,6,2022-23
LAL,LAL @ GSW,05/02/2023,W,240,117,43,92,46.7,6,25,24.0,25,29,86.2,13,40,53,24,4,10,8,12,5,2022-23
BOS,BOS vs. PHI,05/01/2023,L,240,115,44,75,58.7,10,26,38.5,17,18,94.4,8,30,38,26,3,4,16,10,-4,2022-23
PHX,PHX @ DEN,05/01/2023,L,240,87,38,95,40.0,6,31,19.4,5,5,100,11,28,39,23,2,4,10,25,-10,2022-23
DEN,DEN vs. PHX,05/01/2023,W,240,97,36,76,47.4,7,27,25.9,18,21,85.7,5,36,41,19,5,6,13,16,10,2022-23
PHI,PHI @ BOS,05/01/2023,W,240,119,45,89,50.6,17,38,44.7,12,12,100,8,20,28,17,10,4,8,20,4,2022-23
NYK,NYK vs. MIA,04/30/2023,L,240,101,41,86,47.7,7,34,20.6,12,20,60.0,12,36,48,20,6,4,13,21,-7,2022-23
MIA,MIA @ NYK,04/30/2023,W,240,108,36,85,42.4,13,39,33.3,23,29,79.3,10,29,39,26,8,5,9,14,7,2022-23
GSW,GSW @ SAC,04/30/2023,W,240,120,43,100,43.0,15,46,32.6,19,30,63.3,18,37,55,25,4,6,7,23,20,2022-23
SAC,SAC vs. GSW,04/30/2023,L,240,100,36,96,37.5,12,47,25.5,16,27,59.3,14,35,49,21,3,5,8,23,-20,2022-23
PHX,PHX @ DEN,04/29/2023,L,240,107,43,84,51.2,7,23,30.4,14,17,82.4,8,30,38,20,4,5,16,19,-18,2022-23
DEN,DEN vs. PHX,04/29/2023,W,240,125,48,101,47.5,16,37,43.2,13,15,86.7,16,33,49,22,14,1,10,19,18,2022-23
SAC,SAC @ GSW,04/28/2023,W,240,118,40,99,40.4,17,45,37.8,21,25,84.0,18,35,53,25,10,8,20,26,19,2022-23
